realty_id,type,offer_type,square_meters,year_built,land_area,total_floors,floor,registered,heating_type,total_rooms,total_bathrooms,price,city,quarter,webpage
19038,kuca,prodaja,200.0,,,,1,,Samostalno,5,,70000.0,Kragujevac,,https://www.nekretnine.rs/stambeni-objekti/kuce/prodaja-kuce-u-marsicu-ili-zamena-za-stanove-/Nk_kthTngml/
19039,kuca,prodaja,100.0,,,,,,,5,,30000.0,Kragujevac,Male Pčelice,https://www.nekretnine.rs/stambeni-objekti/kuce/prodajem-kuca-samostalna-kuca-kragujevac-male-pcelice/NkDyIgt9U2s/
19040,kuca,prodaja,160.0,,,,,,,3,,52000.0,Kovačica,,https://www.nekretnine.rs/stambeni-objekti/kuce/kovacicakuca-u-centru/NkWBU0MIhYDd/
19041,kuca,prodaja,240.0,,,,,True,"Samostalno, Klima",5,,220000.0,Kragujevac,Petrovac,https://www.nekretnine.rs/stambeni-objekti/kuce/novija-kuca-u-petrovcu-u-totalnom-fulu-vinarija/NknJG4QZW4V/
19042,kuca,prodaja,481.0,2000,,,,True,"Samostalno, Klima",5,,640000.0,Beograd,Zvezdara,https://www.nekretnine.rs/stambeni-objekti/kuce/zvezdara-severni-bulevar-bore-prodanovica-481m2-bore-prodanovica/186913/
19043,kuca,prodaja,108.0,,,,-1,,Samostalno,,,157500.0,Beograd,Zemun (Centar),https://www.nekretnine.rs/stambeni-objekti/kuce/108-m2-kuca-zemun-centar-agencijski-id-10337/182427/
19045,kuca,prodaja,230.0,,,,,,Samostalno,,,150000.0,Beograd,Višnjička banja,https://www.nekretnine.rs/stambeni-objekti/kuce/230-m2-kuca-visnjicka-banja-agencijski-id-10084/180098/
19046,stan,prodaja,300.0,1935,,,,True,Samostalno,8,5,340000.0,Beograd,Partizanov stadion,https://www.nekretnine.rs/stambeni-objekti/kuce/prodaja-kuce-stadion-partizana/112765/
19047,kuca,prodaja,240.0,,,,1,,Centralno,5,,59900.0,Kragujevac,,https://www.nekretnine.rs/stambeni-objekti/kuce/kuca-kragujevac-marsic/Nki1uWpwN1C/
19049,kuca,prodaja,70.0,,,,,,,3,,25000.0,Kragujevac,Bresnica,https://www.nekretnine.rs/stambeni-objekti/kuce/kuca-kragujevac-bresnica/NkryqpuRRrZ/
19050,kuca,prodaja,70.0,,,,1,,Samostalno,3,,55000.0,Kragujevac,Pivara,https://www.nekretnine.rs/stambeni-objekti/kuce/kuca-kragujevac-pivara/NkZscHKCrz1m/
19051,kuca,prodaja,230.0,,,,,True,Centralno,5,,155000.0,Kragujevac,Centar,https://www.nekretnine.rs/stambeni-objekti/kuce/kuca-kragujevac-centar/NkFTl0YoCn0t/
19053,kuca,prodaja,200.0,,,,,True,,5,,50000.0,Kragujevac,,https://www.nekretnine.rs/stambeni-objekti/kuce/prodajem-kuca-seosko-domacinstvo-kragujevac-poskurice/NkOx4Wn1zSY/
19054,kuca,prodaja,150.0,,,,1,,Samostalno,4,,59900.0,Kragujevac,,https://www.nekretnine.rs/stambeni-objekti/kuce/kuca-kragujevac-grosnica/Nk6VfiLIwO3/
19055,kuca,prodaja,100.0,,,,1,True,Samostalno,,,53000.0,Niš,Ledena stena,https://www.nekretnine.rs/stambeni-objekti/kuce/kuca-na-ledenoj-steni/1948283/
19056,kuca,prodaja,200.0,,,,1,,,5,,62000.0,Kragujevac,Petrovac,https://www.nekretnine.rs/stambeni-objekti/kuce/porodicna-kuca-u-petrovcu-sredjena-komplet-eg-pomocni-objekat-bunar-na-placu-gradska-voda-struja-trofazna/NkY7utI3TyX/
19058,kuca,prodaja,50.0,,,,,,,2,1,40000.0,Kragujevac,Sušice,https://www.nekretnine.rs/stambeni-objekti/kuce/prodajem-kuca-samostalna-kuca-kragujevac-susica/Nk6AcHSSxZiy/
19059,kuca,prodaja,140.0,,,,,,"Centralno, Samostalno",5,,99000.0,Kragujevac,Bubanj,https://www.nekretnine.rs/stambeni-objekti/kuce/kuca-kragujevac-vasariste/NkIFfM5bqMlO/
19060,stan,prodaja,193.0,,,,,True,Samostalno,8,4,220000.0,Beograd,Voždovac,https://www.nekretnine.rs/stambeni-objekti/kuce/prodaja-kuce-vozdovac/107690/
19061,kuca,prodaja,290.0,,,,,True,Samostalno,9,,169000.0,Beograd,Medaković I,https://www.nekretnine.rs/stambeni-objekti/kuce/medakovic-i-svemira-jovanovica/107327/
19063,kuca,prodaja,115.0,,,,,,,4,,25000.0,Kragujevac,,https://www.nekretnine.rs/stambeni-objekti/kuce/sredjena-kuca-u-selu-veliko-krcmare-/Nk5BzyipcNS/
19064,kuca,prodaja,183.0,2013,,,,True,"Samostalno, Klima",4,,170000.0,Beograd,Trošarina,https://www.nekretnine.rs/stambeni-objekti/kuce/vozdovac-trosarina-porodice-trajkovic-123m260m2-porodice-trajkovic/106147/
19066,kuca,prodaja,70.0,,,,1,True,,,,70000.0,Inđija,,https://www.nekretnine.rs/stambeni-objekti/kuce/kuca-u-beskoj/1948292/
