realty_id,type,offer_type,square_meters,year_built,land_area,total_floors,floor,registered,heating_type,total_rooms,total_bathrooms,price,city,quarter
1695,stan,prodaja,32.0,2019,,5.0,1.0,True,Samostalno,2.0,1.0,51200.0,Kopaonik,
1696,stan,prodaja,35.0,,,,,True,Centralno,2.0,1.0,92900.0,Beograd,Vračar (Hram)
1697,stan,prodaja,49.0,,,,,True,Centralno,2.0,1.0,60000.0,Beograd,Braće Jerković
1698,stan,prodaja,34.0,,,,2.0,True,Samostalno,2.0,1.0,99000.0,Beograd,Stari Grad
1699,stan,prodaja,45.0,,,,2.0,True,Centralno,2.0,1.0,99000.0,Beograd,Novi Beograd Blok 21 (10. Gimnazija)
1700,stan,prodaja,64.0,,,,5.0,True,Centralno,2.0,1.0,95000.0,Beograd,Novi Beograd Blok 38 (OŠ Ratko Mitrović)
1701,stan,prodaja,133.0,,,,5.0,True,Centralno,5.0,1.0,262000.0,Beograd,Crveni krst
1702,stan,prodaja,25.0,,,,4.0,True,,,,23700.0,Niš,Centar
1703,stan,izdavanje,67.0,,,5.0,2.0,True,Centralno,3.0,1.0,450.0,Beograd,Vračar (Centar)
1704,stan,izdavanje,56.0,2005,,5.0,2.0,True,Centralno,3.0,,300.0,Beograd,Banovo brdo
1705,stan,izdavanje,49.0,,,5.0,2.0,True,Samostalno,2.0,1.0,600.0,Beograd,Gornji Dorćol
1706,stan,prodaja,60.0,1993,,,2.0,True,,3.0,1.0,145000.0,Beograd,Vračar (Centar)
1708,stan,prodaja,53.0,2019,,4.0,3.0,True,Centralno,4.0,3.0,105000.0,Beograd,Lekino brdo
1709,stan,prodaja,54.0,2020,,4.0,1.0,True,,3.0,1.0,90000.0,Beograd,Zvezdara
1710,stan,prodaja,87.0,,,10.0,8.0,True,Centralno,3.0,,70000.0,Niš,Bulevar Nemanjića
1707,kuca,prodaja,34.0,2019,10000.0,3.0,1.0,True,Samostalno,1.0,1.0,55000.0,Zlatibor,Centar
1713,stan,prodaja,72.0,2020,,,4.0,True,Samostalno,,2.0,,Niš,Durlan
1714,stan,prodaja,135.0,,,,2.0,True,Centralno,4.0,1.0,265000.0,Beograd,Beograđanka ( centar )
1715,stan,prodaja,82.0,,,,3.0,True,Centralno,4.0,1.0,108000.0,Beograd,Zemun (Save Kovačevića)
1717,stan,prodaja,102.0,,,,3.0,True,Centralno,4.0,1.0,115500.0,Beograd,Skojevsko naselje
1718,stan,prodaja,100.0,,,,3.0,True,Centralno,4.0,1.0,234600.0,Beograd,Vračar (Hram)
1719,stan,prodaja,95.0,,,,10.0,True,Centralno,4.0,1.0,143000.0,Beograd,Novi Beograd Blok 70 (Kineski TC)
1720,stan,prodaja,94.0,,,,4.0,True,Centralno,4.0,1.0,180000.0,Beograd,Profesorska kolonija
1721,stan,prodaja,90.0,,,,1.0,True,Centralno,4.0,1.0,125000.0,Beograd,Golf naselje
1723,stan,prodaja,85.0,,,,5.0,True,Centralno,4.0,1.0,120000.0,Beograd,Novi Beograd Blok 11c (Stari Merkator)
1724,stan,prodaja,79.0,,,,1.0,True,Centralno,4.0,1.0,190000.0,Beograd,Crveni krst
1725,stan,prodaja,109.0,,,,2.0,True,Samostalno,4.0,1.0,239000.0,Beograd,Gundulićev venac
1728,stan,izdavanje,37.0,,,1.0,,True,,,1.0,250.0,Beograd,Neimar
1729,stan,prodaja,75.0,,,,1.0,True,Podno,,1.0,75000.0,Zlatibor,Zova
1731,stan,prodaja,155.0,2008,,6.0,4.0,True,Centralno,4.0,,415000.0,Beograd,Vračar (Centar)
1733,stan,prodaja,61.0,,,10.0,4.0,True,,,,163000.0,Beograd,Belvil
1734,stan,prodaja,98.0,,,,,True,,,,219900.0,Beograd,Novi Beograd Blok 67
1735,stan,izdavanje,38.0,,,5.0,4.0,True,Centralno,2.0,,220.0,Novi Sad,Novo Naselje
1736,stan,prodaja,55.0,,,,,True,,,,26000.0,Aranđelovac,
1739,stan,prodaja,47.0,2019,,2.0,,True,"Podno, Samostalno",2.0,1.0,1600.0,Zlatibor,Centar
